Timestamp,AREA,PROCESO,% SOLIDOS,MALLA 65#,COMENTARIOS,USUARIO,Timestamp
2023-01-03 01:02:00,A2,-,40.0,29,,Glenn Guajardo Lara,2023-01-03 01:02:00
2023-01-03 01:09:00,A0,-,39.0,34,,Glenn Guajardo Lara,2023-01-03 01:09:00
2023-01-03 01:31:00,A1,-,38.0,32,,Glenn Guajardo Lara,2023-01-03 01:31:00
2023-01-03 03:10:00,A2,-,41.0,30,,Glenn Guajardo Lara,2023-01-03 03:10:00
2023-01-03 06:03:00,A2,-,40.0,31,,Glenn Guajardo Lara,2023-01-03 06:03:00
2023-01-03 08:15:00,A1,-,40.0,30,08:15 hrs.,Francisco Alderete,2023-01-03 08:15:00
2023-01-03 08:20:00,A0,-,40.0,28,08:20 hrs.,Francisco Alderete,2023-01-03 08:20:00
2023-01-03 08:25:00,A2,-,45.0,33,08:25 hrs.,Francisco Alderete,2023-01-03 08:25:00
2023-01-03 10:05:00,A1,-,43.0,30,10:05 hrs.,Francisco Alderete,2023-01-03 10:05:00
2023-01-03 10:14:00,A2,-,42.0,28,10:14 hrs.,Francisco Alderete,2023-01-03 10:14:00
2023-01-03 11:03:00,A1,-,39.0,27,11:03 hrs.,Francisco Alderete,2023-01-03 11:03:00
2023-01-03 11:31:00,A2,-,41.0,31,11:31 hrs,Francisco Alderete,2023-01-03 11:31:00
2023-01-03 12:05:00,A1,-,36.0,26,12:05 hrs.,Francisco Alderete,2023-01-03 12:05:00
2023-01-03 12:57:00,A1,-,40.0,28,12:57 hrs.,Francisco Alderete,2023-01-03 12:57:00
2023-01-03 13:46:00,A2,-,43.0,35,13:46 hrs.,Francisco Alderete,2023-01-03 13:46:00
2023-01-03 14:08:00,A1,-,40.0,28,14:08 hrs.,Francisco Alderete,2023-01-03 14:08:00
2023-01-03 14:19:00,A0,-,40.0,28,14:19 hrs.,Francisco Alderete,2023-01-03 14:19:00
2023-01-03 16:00:00,A1,-,39.0,26,16:00 hrs.,Francisco Alderete,2023-01-03 16:00:00
2023-01-03 17:08:00,A1,-,40.0,27,17:08 hrs.,Francisco Alderete,2023-01-03 17:08:00
2023-01-03 18:05:00,A2,-,40.0,34,18:05 hrs.,Francisco Alderete,2023-01-03 18:05:00
2023-01-03 19:59:00,A1,-,41.0,27,,Glenn Guajardo Lara,2023-01-03 19:59:00
2023-01-03 20:05:00,A2,-,44.0,34,,Glenn Guajardo Lara,2023-01-03 20:05:00
2023-01-03 20:10:00,A0,-,39.0,30,,Glenn Guajardo Lara,2023-01-03 20:10:00
2023-01-04 00:23:00,A0,-,38.0,26,,Glenn Guajardo Lara,2023-01-04 00:23:00
2023-01-04 00:29:00,A2,-,43.0,31,,Glenn Guajardo Lara,2023-01-04 00:29:00
2023-01-04 01:30:00,A1,-,39.0,26,,Glenn Guajardo Lara,2023-01-04 01:30:00
2023-01-04 02:10:00,A2,-,42.0,31,,Glenn Guajardo Lara,2023-01-04 02:10:00
2023-01-04 02:19:00,A1,-,40.0,26,,Glenn Guajardo Lara,2023-01-04 02:19:00
2023-01-04 04:01:00,A2,-,45.0,34,,Glenn Guajardo Lara,2023-01-04 04:01:00
2023-01-04 05:11:00,A1,-,39.0,26,,Glenn Guajardo Lara,2023-01-04 05:11:00
2023-01-04 05:13:00,A0,-,39.0,27,,Glenn Guajardo Lara,2023-01-04 05:13:00
2023-01-04 05:28:00,A2,-,44.0,33,,Glenn Guajardo Lara,2023-01-04 05:28:00
2023-01-04 05:46:00,A0,-,40.0,34,,Glenn Guajardo Lara,2023-01-04 05:46:00
2023-01-04 08:06:00,A0,-,35.0,21,,José Ledesma Espinoza,2023-01-04 08:06:00
2023-01-04 08:48:00,A1,-,33.0,12,,José Ledesma Espinoza,2023-01-04 08:48:00
2023-01-04 10:03:00,A2,-,44.0,35,,José Ledesma Espinoza,2023-01-04 10:03:00
2023-01-04 10:17:00,A0,-,42.0,26,,José Ledesma Espinoza,2023-01-04 10:17:00
2023-01-04 11:02:00,A1,-,40.0,28,,José Ledesma Espinoza,2023-01-04 11:02:00
2023-01-04 11:57:00,A0,-,39.0,24,,José Ledesma Espinoza,2023-01-04 11:57:00
2023-01-04 12:14:00,A1,-,40.0,24,,José Ledesma Espinoza,2023-01-04 12:14:00
2023-01-04 12:18:00,A2,-,45.0,37,,José Ledesma Espinoza,2023-01-04 12:18:00
2023-01-04 13:03:00,A0,-,40.0,24,,José Ledesma Espinoza,2023-01-04 13:03:00
2023-01-04 14:28:00,A1,-,41.0,32,,José Ledesma Espinoza,2023-01-04 14:28:00
2023-01-04 14:33:00,A0,-,32.0,22,,José Ledesma Espinoza,2023-01-04 14:33:00
2023-01-04 14:42:00,A2,-,41.0,34,,José Ledesma Espinoza,2023-01-04 14:42:00
2023-01-04 17:25:00,A2,-,43.0,34,,José Ledesma Espinoza,2023-01-04 17:25:00
2023-01-04 17:26:00,A0,-,32.0,18,Falta de mineral en molienda.,José Ledesma Espinoza,2023-01-04 17:26:00
2023-01-04 18:08:00,A1,-,40.0,27,,José Ledesma Espinoza,2023-01-04 18:08:00
2023-01-04 20:32:00,A2,-,40.0,34,,Lorne Ortiz,2023-01-04 20:32:00
2023-01-04 20:49:00,A0,-,49.0,33,,Lorne Ortiz,2023-01-04 20:49:00
2023-01-04 21:54:00,A1,-,40.0,31,,Lorne Ortiz,2023-01-04 21:54:00
2023-01-04 21:55:00,A0,-,43.0,34,,Lorne Ortiz,2023-01-04 21:55:00
2023-01-04 22:39:00,A1,-,41.0,29,,Lorne Ortiz,2023-01-04 22:39:00
2023-01-04 23:42:00,A2,-,43.0,36,,Lorne Ortiz,2023-01-04 23:42:00
2023-01-04 23:50:00,A1,-,40.0,30,,Lorne Ortiz,2023-01-04 23:50:00
2023-01-05 01:56:00,A2,-,40.0,32,,Lorne Ortiz,2023-01-05 01:56:00
2023-01-05 04:15:00,A1,-,44.0,34,,Lorne Ortiz,2023-01-05 04:15:00
2023-01-05 07:35:00,A2,-,35.0,29,,José Ledesma Espinoza,2023-01-05 07:35:00
2023-01-05 08:11:00,A1,-,36.0,26,,José Ledesma Espinoza,2023-01-05 08:11:00
2023-01-05 09:50:00,A2,-,47.0,37,,José Ledesma Espinoza,2023-01-05 09:50:00
2023-01-05 09:57:00,A1,-,35.0,17,,José Ledesma Espinoza,2023-01-05 09:57:00
2023-01-05 10:19:00,A2,-,39.0,29,,José Ledesma Espinoza,2023-01-05 10:19:00
