fecha,solidos_a0,malla_a0
2023-11-28 06:24:19,38.0,28.0
2023-11-28 04:45:40,40.0,31.0
2023-11-28 02:18:22,38.0,29.0
2023-11-27 23:50:18,38.0,26.0
2023-11-27 22:14:04,43.0,35.0
2023-11-27 20:11:15,39.0,28.0
2023-11-27 16:35:33,42.0,33.0
2023-11-27 10:13:41,35.0,33.0
2023-11-27 08:41:02,40.0,35.0
2023-11-27 04:59:55,43.0,34.0
2023-11-27 02:56:50,45.0,35.0
2023-11-27 01:02:51,45.0,37.0
2023-11-26 22:32:51,43.0,35.0
2023-11-26 20:06:34,38.0,0.0
2023-11-26 20:00:20,40.0,34.0
2023-11-26 10:13:04,40.0,35.0
2023-11-26 08:58:36,43.0,38.0
2023-11-26 04:54:05,43.0,35.0
2023-11-26 01:38:18,42.0,35.0
2023-11-25 23:51:48,40.0,34.0
2023-11-25 21:51:41,43.0,34.0
2023-11-25 20:06:39,38.0,27.0
2023-11-25 09:51:20,43.0,38.0
2023-11-25 08:46:41,39.0,34.0
2023-11-25 04:45:48,42.0,31.0
2023-11-25 02:05:10,43.0,34.0
2023-11-25 00:40:29,43.0,33.0
2023-11-24 21:53:30,42.0,32.0
2023-11-24 20:06:52,41.0,29.0
2023-11-24 13:19:25,40.0,28.0
2023-11-24 10:28:22,38.0,31.0
2023-11-24 07:36:24,41.0,35.0
2023-11-24 06:26:05,41.0,30.0
2023-11-24 04:16:14,39.0,31.0
2023-11-24 02:00:39,43.0,35.0
2023-11-23 23:52:23,43.0,33.0
2023-11-23 22:08:31,42.0,31.0
2023-11-23 20:15:19,41.0,29.0
2023-11-23 12:15:48,35.0,20.0
2023-11-23 11:27:22,44.0,37.0
2023-11-23 07:49:09,41.0,29.0
2023-11-23 06:05:09,40.0,27.0
2023-11-23 04:29:22,42.0,29.0
2023-11-23 02:26:25,43.0,30.0
2023-11-23 00:28:33,40.0,0.0
2023-11-23 00:28:25,41.0,0.0
2023-11-23 00:28:19,38.0,0.0
2023-11-22 23:57:32,42.0,31.0
2023-11-22 22:08:13,39.0,23.0
2023-11-22 20:26:23,41.0,27.0
2023-11-22 16:13:02,39.0,25.0
2023-11-22 09:01:03,42.0,28.0
2023-11-22 07:21:52,32.0,23.0
2023-11-22 06:02:24,42.0,0.0
2023-11-22 05:58:38,41.0,31.0
2023-11-22 05:53:58,41.0,0.0
2023-11-22 03:56:24,39.0,30.0
2023-11-22 01:54:31,39.0,29.0
2023-11-21 23:57:53,41.0,31.0
2023-11-21 23:50:44,43.0,0.0
2023-11-21 23:50:06,43.0,0.0
2023-11-21 23:47:27,43.0,0.0
2023-11-21 22:12:45,41.0,0.0
2023-11-21 21:49:45,42.0,31.0
2023-11-21 20:15:10,42.0,0.0
2023-11-21 20:15:02,38.0,29.0
2023-11-21 16:55:48,39.0,26.0
2023-11-21 12:38:42,40.0,26.0
2023-11-21 10:32:40,41.0,31.0
2023-11-21 07:34:49,38.0,27.0
2023-11-21 06:04:31,43.0,0.0
2023-11-21 06:00:00,41.0,0.0
2023-11-21 05:55:56,40.0,31.0
2023-11-21 04:03:29,40.0,31.0
2023-11-21 02:00:12,40.0,30.0
2023-11-21 00:09:39,43.0,0.0
2023-11-21 00:08:36,43.0,0.0
2023-11-21 00:06:30,40.0,31.0
2023-11-20 21:58:35,39.0,30.0
2023-11-20 20:49:29,42.0,0.0
2023-11-20 20:00:50,40.0,31.0
2023-11-20 14:59:22,36.0,23.0
2023-11-20 12:44:03,36.0,26.0
2023-11-20 09:31:48,39.0,27.0
2023-11-20 08:01:38,38.0,24.0
2023-11-20 06:02:45,39.0,29.0
2023-11-20 04:10:46,42.0,0.0
2023-11-20 04:05:14,39.0,28.0
2023-11-20 02:08:16,37.0,28.0
2023-11-20 00:05:29,37.0,29.0
2023-11-19 22:10:45,38.0,27.0
2023-11-19 20:23:13,38.0,28.0
2023-11-19 17:06:35,37.0,25.0
2023-11-19 15:06:32,37.0,28.0
2023-11-19 12:14:55,40.0,28.0
2023-11-19 09:18:58,40.0,30.0
2023-11-19 06:11:34,41.0,0.0
2023-11-19 05:59:54,39.0,29.0
2023-11-19 04:07:04,40.0,29.0
2023-11-19 01:36:40,41.0,0.0
