fecha,solidos_a1,malla_a1
2023-11-28 05:19:49,38.0,27.0
2023-11-28 04:23:14,39.0,30.0
2023-11-28 02:44:19,37.0,25.0
2023-11-27 23:21:37,37.0,29.0
2023-11-27 22:03:58,37.0,28.0
2023-11-27 20:14:06,41.0,29.0
2023-11-27 08:41:22,45.0,33.0
2023-11-27 04:10:16,37.0,30.0
2023-11-27 03:14:54,37.0,30.0
2023-11-27 00:24:17,37.0,29.0
2023-11-26 22:42:28,38.0,30.0
2023-11-26 20:05:31,37.0,28.0
2023-11-26 16:39:46,45.0,33.0
2023-11-26 14:59:59,42.0,31.0
2023-11-26 13:15:54,40.0,33.0
2023-11-26 11:51:29,42.0,33.0
2023-11-26 10:13:17,40.0,31.0
2023-11-26 08:58:53,39.0,31.0
2023-11-26 00:01:47,35.0,27.0
2023-11-25 22:10:07,39.0,29.0
2023-11-25 20:14:25,44.0,36.0
2023-11-25 18:22:13,42.0,31.0
2023-11-25 08:49:28,43.0,32.0
2023-11-25 05:28:29,47.0,40.0
2023-11-25 02:57:49,43.0,32.0
2023-11-25 00:13:31,42.0,32.0
2023-11-24 22:20:15,45.0,35.0
2023-11-24 20:13:33,44.0,34.0
2023-11-24 12:34:57,42.0,32.0
2023-11-24 09:51:43,43.0,33.0
2023-11-24 07:36:42,44.0,32.0
2023-11-24 06:08:27,43.0,30.0
2023-11-24 04:31:45,41.0,31.0
2023-11-24 02:36:58,44.0,32.0
2023-11-24 02:08:13,41.0,30.0
2023-11-23 21:52:56,41.0,29.0
2023-11-23 07:49:25,44.0,32.0
2023-11-23 05:15:37,40.0,30.0
2023-11-23 02:32:28,42.0,32.0
2023-11-23 00:07:08,41.0,30.0
2023-11-22 22:09:16,41.0,32.0
2023-11-22 20:22:04,44.0,33.0
2023-11-22 16:13:57,42.0,33.0
2023-11-22 12:38:28,41.0,31.0
2023-11-22 10:49:34,39.0,29.0
2023-11-22 06:05:20,39.0,29.0
2023-11-22 03:54:46,38.0,28.0
2023-11-22 02:00:08,39.0,27.0
2023-11-21 23:52:50,39.0,31.0
2023-11-21 22:04:14,41.0,32.0
2023-11-21 19:59:51,39.0,27.0
2023-11-21 14:57:06,37.0,22.0
2023-11-21 12:15:00,39.0,29.0
2023-11-21 10:56:00,42.0,34.0
2023-11-21 09:50:34,41.0,34.0
2023-11-21 07:42:56,44.0,33.0
2023-11-21 05:54:01,40.0,31.0
2023-11-21 03:56:55,41.0,31.0
2023-11-21 01:52:34,39.0,30.0
2023-11-20 23:53:45,40.0,31.0
2023-11-20 21:48:18,39.0,32.0
2023-11-20 19:48:02,39.0,29.0
2023-11-20 17:57:31,45.0,33.0
2023-11-20 16:44:34,47.0,36.0
